n_of_cases,st_add,lat,long,cluster_n,rec_cases_in_cluster,total_cases,date,month_num
11,bedok north street 3 (block 536),1.333427,103.922986,1,4,15,180416,4
1,bedok north street 3 (block 541),1.3313958,103.9229638,1,4,15,180416,4
3,bedok north street 3 (block 556),1.3326072,103.9226175,1,4,15,180416,4
1,jurong west street 91 (block 945),1.3442265,103.6901408,2,4,10,180416,4
2,jurong west street 91 (block 946),1.3443159,103.6905253,2,4,10,180416,4
4,jurong west street 91 (block 947),1.3436378,103.6905932,2,4,10,180416,4
3,jurong west street 91 (block 950),1.3433432,103.6908646,2,4,10,180416,4
5,cashew crescent,1.371403,103.769507,3,2,5,180416,4
1,whampoa drive (block 97),1.321294,103.85495,4,2,4,180416,4
1,whampoa drive (block 100),1.3207865,103.8542009,4,2,4,180416,4
1,whampoa drive (block 101),1.3205077,103.8538647,4,2,4,180416,4
1,whampoa drive (block 104),1.3209644,103.8533738,4,2,4,180416,4
1,carpmael road,1.3107528,103.8999069,5,3,3,180416,4
2,joo chiat road,1.309934,103.9020481,5,3,3,180416,4
3,jalan sempadan (villa marina),1.310747,103.927427,6,1,3,180416,4
2,yishun street 21 (block 201),1.4307489,103.8378901,7,1,3,180416,4
1,yishun street 21 (block 212),1.431806,103.837363,7,1,3,180416,4
1,joo chiat road,1.309934,103.9020481,8,1,2,180416,4
1,onan road,1.3111315,103.9003912,8,1,2,180416,4
1,redhill close (block 86),1.286943,103.8187,9,2,2,180416,4
1,redhill lane (block 82),1.2874073,103.8195071,9,2,2,180416,4
1,bedok north street 3 (block 535),1.332783,103.9235076,1,5,20,180423,4
12,bedok north street 3 (block 536),1.333427,103.922986,1,5,20,180423,4
2,bedok north street 3 (block 537),1.3325106,103.9241581,1,5,20,180423,4
1,bedok north street 3 (block 541),1.3313958,103.9229638,1,5,20,180423,4
4,bedok north street 3 (block 556),1.3326072,103.9226175,1,5,20,180423,4
1,jurong west street 91 (block 940),1.3433331,103.6889327,2,10,20,180423,4
1,jurong west street 91 (block 945),1.3442265,103.6901408,2,10,20,180423,4
3,jurong west street 91 (block 946),1.3443159,103.6905253,2,10,20,180423,4
7,jurong west street 91 (block 947),1.3436378,103.6905932,2,10,20,180423,4
1,jurong west street 91 (block 949),1.3438524,103.691498,2,10,20,180423,4
7,jurong west street 91 (block 950),1.3433432,103.6908646,2,10,20,180423,4
6,cashew crescent,1.371403,103.769507,3,1,6,180423,4
1,whampoa drive (block 97),1.321294,103.85495,4,1,5,180423,4
1,whampoa drive (block 98),1.3217872,103.8540529,4,1,5,180423,4
1,whampoa drive (block 100),1.3207865,103.8542009,4,1,5,180423,4
1,whampoa drive (block 101),1.3205077,103.8538647,4,1,5,180423,4
1,whampoa drive (block 104),1.3209644,103.8533738,4,1,5,180423,4
2,carpmael road,1.3107528,103.8999069,5,1,4,180423,4
2,joo chiat road,1.309934,103.9020481,5,1,4,180423,4
4,jalan sempadan (villa marina),1.310747,103.927427,6,2,4,180423,4
1,henderson road (block 92),1.2874445,103.82037,7,1,3,180423,4
1,redhill close (block 86),1.286943,103.8187,7,1,3,180423,4
1,redhill lane (block 82),1.2874073,103.8195071,7,1,3,180423,4
2,kim keat close,1.3239571,103.8533912,8,2,3,180423,4
1,kim keat lane,1.3239158,103.8538392,8,2,3,180423,4
1,lorong 24a geylang,1.312143,103.8840533,9,3,3,180423,4
1,lorong 26 geylang (casa aerata),1.312331,103.885046,9,3,3,180423,4
1,lorong 26 geylang (rezi 26),1.312971,103.885148,9,3,3,180423,4
2,yunnan crescent,1.338575,103.692206,10,1,2,180423,4
1,jurong west street 91 (block 933),1.3422499,103.6898694,1,15,38,180430,4
1,jurong west street 91 (block 940),1.3433331,103.6889327,1,15,38,180430,4
1,jurong west street 91 (block 943),1.3437703,103.6898467,1,15,38,180430,4
2,jurong west street 91 (block 945),1.3442265,103.6901408,1,15,38,180430,4
4,jurong west street 91 (block 946),1.3443159,103.6905253,1,15,38,180430,4
9,jurong west street 91 (block 947),1.3436378,103.6905932,1,15,38,180430,4
1,jurong west street 91 (block 948),1.3444962,103.691023,1,15,38,180430,4
3,jurong west street 91 (block 949),1.3438524,103.691498,1,15,38,180430,4
17,jurong west street 91 (block 950),1.3433432,103.6908646,1,15,38,180430,4
1,jurong west street 92 (block 920),1.3399044,103.6883979,1,15,38,180430,4
1,jurong west street 92 (block 928),1.3409718,103.6891908,1,15,38,180430,4
3,bedok north street 3 (block 533),1.333639,103.924036,2,6,25,180430,4
1,bedok north street 3 (block 535),1.332783,103.9235076,2,6,25,180430,4
14,bedok north street 3 (block 536),1.333427,103.922986,2,6,25,180430,4
3,bedok north street 3 (block 537),1.3325106,103.9241581,2,6,25,180430,4
1,bedok north street 3 (block 541),1.3313958,103.9229638,2,6,25,180430,4
4,bedok north street 3 (block 556),1.3326072,103.9226175,2,6,25,180430,4
1,bedok north street 3 (block 557),1.3329198,103.9220513,2,6,25,180430,4
11,cashew crescent,1.371403,103.769507,3,6,13,180430,4
1,cashew link,1.3711358,103.7691733,3,6,13,180430,4
1,chestnut drive,1.3689883,103.7694116,3,6,13,180430,4
1,balestier road,1.3234575,103.8521005,4,1,5,180430,4
2,kim keat close,1.3239571,103.8533912,4,1,5,180430,4
1,kim keat lane,1.3239158,103.8538392,4,1,5,180430,4
1,kim keat road (victory heights),1.324302,103.852742,4,1,5,180430,4
3,yunnan crescent,1.338575,103.692206,5,2,3,180430,4
2,chestnut drive (near chestnut crescent),1.3692511,103.7695212,6,2,2,180430,4
2,elliot road,1.3120421,103.9303828,7,2,2,180430,4
1,tampines street 12 (block 158),1.3513844,103.9458924,8,1,2,180430,4
1,tampines street 12 (block 161),1.350003,103.945943,8,1,2,180430,4
2,jurong west street 91 (block 933),1.3422499,103.6898694,1,27,65,180507,5
1,jurong west street 91 (block 940),1.3433331,103.6889327,1,27,65,180507,5
4,jurong west street 91 (block 943),1.3437703,103.6898467,1,27,65,180507,5
1,jurong west street 91 (block 944),1.344157,103.6901748,1,27,65,180507,5
3,jurong west street 91 (block 945),1.3442265,103.6901408,1,27,65,180507,5
5,jurong west street 91 (block 946),1.3443159,103.6905253,1,27,65,180507,5
15,jurong west street 91 (block 947),1.3436378,103.6905932,1,27,65,180507,5
2,jurong west street 91 (block 948),1.3444962,103.691023,1,27,65,180507,5
